Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,028,241;487,125;541,116;60,032;68,756;60,436;60,183;54,653;60,385;61,068;62,810;70,504;Bye;69,630;60,062;79,088;67,685;60,483;62,734;69,732
Atlanta Falcons;1,102,398;560,773;541,625;71,180;70,427;61,297;69,594;75,337;69,383;Bye;69,144;70,840;73,126;69,630;54,400;70,514;73,292;70,741;63,849;69,644
Baltimore Ravens;1,109,404;570,229;539,175;71,064;69,144;71,269;70,944;68,803;71,384;71,708;Bye;65,449;71,339;63,446;57,882;71,442;81,178;71,317;71,470;61,565
Buffalo Bills;1,033,263;495,423;537,840;79,088;69,402;69,353;70,684;69,732;60,385;68,836;Bye;71,698;68,756;69,118;64,366;53,971;68,109;40,770;54,462;54,533
Carolina Panthers;1,108,455;586,347;522,108;51,533;72,879;73,951;69,594;72,676;Bye;73,981;62,254;79,767;73,939;72,603;69,144;62,860;73,292;53,832;73,026;73,124
Chicago Bears;1,056,462;498,633;557,829;62,341;70,543;62,224;90,080;67,012;Bye;62,300;62,254;69,143;62,410;69,732;62,306;62,264;64,134;62,534;62,734;64,451
Cincinnati Bengals;1,021,414;489,504;531,910;71,064;63,036;80,060;63,030;61,162;67,060;63,411;Bye;63,623;56,614;63,336;56,503;54,980;63,590;69,144;63,236;61,565
Cleveland Browns;1,065,268;533,058;532,210;68,693;63,036;69,353;70,944;79,911;67,060;64,560;65,337;65,449;Bye;81,936;69,661;43,641;62,422;65,083;76,351;51,831
Dallas Cowboys;1,290,328;708,249;582,079;82,287;68,008;81,984;90,080;Bye;71,384;73,981;94,067;70,840;69,144;81,936;90,166;81,851;63,590;95,595;92,570;82,845
Denver Broncos;1,157,779;613,062;544,717;76,823;70,427;76,566;76,787;68,756;68,604;Bye;76,832;63,623;73,939;76,769;74,244;76,432;53,807;71,317;76,351;76,502
Detroit Lions;1,038,451;510,158;528,293;62,315;69,732;69,143;63,616;Bye;69,144;62,300;63,497;63,050;64,059;63,716;64,827;63,887;70,382;60,483;63,849;64,451
Green Bay Packers;1,106,110;564,062;542,048;70,523;70,543;68,218;70,571;67,020;71,702;64,359;70,464;70,504;Bye;63,716;80,365;70,567;70,382;62,534;70,508;64,134
Houston Texans;1,123,975;573,321;550,654;71,566;62,907;76,566;71,581;79,088;71,702;71,708;Bye;71,698;62,410;71,676;64,827;69,143;68,756;71,702;71,688;66,957
Indianapolis Colts;1,062,645;521,518;541,127;62,341;63,912;63,536;Bye;67,020;79,088;64,560;69,143;66,479;63,272;68,756;64,366;63,887;64,688;71,702;62,938;66,957
Jacksonville Jaguars;1,010,570;519,872;490,698;56,607;62,907;63,536;63,030;67,012;Bye;51,634;70,464;63,050;63,272;71,676;63,323;53,971;67,027;53,667;70,251;69,143
Kansas City Chiefs;1,040,043;548,070;491,973;71,180;69,402;72,226;69,979;68,803;46,500;Bye;74,730;55,831;57,644;63,336;74,244;62,860;62,422;51,446;62,938;76,502
Miami Dolphins;1,005,117;459,033;546,084;71,566;54,245;60,102;60,183;61,162;52,983;Bye;79,088;66,479;60,165;69,118;51,295;72,114;69,732;53,667;54,462;68,756
Minnesota Vikings;1,019,702;485,802;533,900;56,607;63,912;57,288;63,616;57,652;78,476;61,068;60,860;67,584;64,059;Bye;62,306;70,567;64,134;55,751;71,688;64,134
New England Patriots;1,134,734;550,044;584,690;69,143;68,756;71,269;70,684;68,756;68,137;68,752;84,004;Bye;68,756;68,756;79,088;72,114;68,756;68,756;70,251;68,756
New Orleans Saints;1,163,696;583,107;580,589;72,180;72,879;72,226;70,571;73,109;Bye;58,906;76,832;73,099;73,126;56,880;73,147;70,514;81,437;73,096;92,570;73,124
New York Giants;1,229,929;643,964;585,965;82,287;76,964;73,951;69,144;79,911;69,732;81,352;94,067;80,991;56,614;Bye;80,365;80,246;81,437;70,741;71,470;80,657
New York Jets;1,142,324;632,704;509,620;79,088;64,511;60,102;79,088;79,088;79,088;68,752;79,088;Bye;67,841;57,711;79,088;79,088;67,027;69,143;79,088;54,533
Oakland Raiders;976,231;433,732;542,499;61,896;54,245;62,373;76,787;Bye;69,383;51,634;74,730;52,055;71,339;56,880;56,503;43,641;53,807;51,446;73,026;66,486
Philadelphia Eagles;1,126,893;553,152;573,741;68,693;69,144;60,436;69,144;64,737;69,144;Bye;69,144;73,099;69,144;79,327;69,144;81,851;64,941;69,144;69,144;80,657
Pittsburgh Steelers;1,078,574;489,135;589,439;76,823;64,511;62,373;Bye;64,737;69,143;63,411;62,371;80,991;57,644;63,446;69,661;71,442;61,359;95,595;63,236;51,831
San Diego Chargers;1,022,066;479,716;542,350;61,896;60,804;61,297;69,979;73,109;68,604;Bye;65,337;55,831;54,813;76,769;57,882;54,980;61,359;53,832;79,088;66,486
San Francisco 49ers;1,094,908;557,856;537,052;70,523;69,732;57,288;79,088;69,732;69,732;69,732;62,810;Bye;69,732;69,732;73,147;57,279;69,732;68,756;68,161;69,732
Seattle Seahawks;1,017,029;543,570;473,459;60,032;68,008;68,218;53,193;72,676;68,137;69,732;63,497;67,584;67,841;Bye;51,295;62,264;67,685;40,770;68,161;67,936
St. Louis Rams;975,825;480,929;494,896;62,315;53,979;62,224;53,193;54,653;52,983;64,359;84,004;Bye;69,732;57,711;60,062;57,279;68,109;55,751;51,535;67,936
Tampa Bay Buccaneers;1,004,457;440,819;563,638;51,533;76,964;81,984;58,191;Bye;46,500;58,906;60,860;52,055;54,813;72,603;54,400;76,432;64,941;73,096;51,535;69,644
Tennessee Titans;1,070,701;553,144;517,557;69,143;60,804;69,143;71,581;57,652;69,143;68,836;69,143;69,143;60,165;Bye;63,323;69,143;64,688;69,143;70,508;69,143
Washington Redskins;1,189,702;637,236;552,466;72,180;53,979;80,060;58,191;75,337;78,476;81,352;62,371;79,767;Bye;79,327;90,166;80,246;81,178;65,083;69,144;82,845
;17,303,347;;;1,087,271;1,059,249;1,090,026;1,036,665;959,648;941,721;860,599;994,601;950,113;912,854;964,636;1,070,779;1,070,279;1,082,539;1,033,060;1,101,011;1,088,296
