Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,018,127;496,111;522,016;61,613;66,515;62,163;61,845;68,337;66,801;62,359;61,923;Bye;76,712;62,435;25,343;77,234;62,014;72,084;61,759;68,990
Atlanta Falcons;1,119,143;583,184;535,959;69,696;72,528;74,457;71,985;64,781;72,665;72,756;Bye;62,386;62,144;74,447;73,017;72,262;77,329;72,084;73,722;52,884
Baltimore Ravens;1,053,383;563,451;489,932;70,591;50,018;70,156;62,030;67,431;64,441;70,639;73,843;70,997;Bye;70,077;70,035;72,262;74,336;70,031;25,571;70,925
Buffalo Bills;1,072,899;519,695;553,204;70,591;69,187;66,800;78,312;68,202;71,638;56,848;70,109;68,749;77,982;Bye;57,799;65,155;59,119;59,110;65,878;67,420
Carolina Panthers;1,102,756;590,182;512,574;74,532;72,528;72,161;Bye;74,221;60,482;69,696;73,843;73,513;62,881;61,999;74,002;52,568;59,392;74,188;73,722;73,028
Chicago Bears;1,045,568;490,750;554,818;78,282;57,960;62,163;61,893;Bye;65,791;62,389;61,397;68,749;61,393;61,651;65,684;76,465;61,695;62,372;70,806;66,878
Cincinnati Bengals;911,289;406,028;505,261;58,699;50,018;72,161;71,985;52,708;60,594;75,676;45,134;Bye;52,492;70,077;56,122;44,392;25,358;44,568;67,431;63,874
Cleveland Browns;1,045,441;526,122;519,319;67,431;73,086;67,431;53,387;67,431;67,431;53,682;63,780;67,431;62,144;Bye;56,122;71,741;59,392;76,596;67,431;70,925
Dallas Cowboys;1,303,393;732,958;570,435;74,532;90,512;69,047;90,155;72,008;90,767;66,301;Bye;90,466;69,696;74,447;92,076;93,004;93,127;66,654;92,851;77,750
Denver Broncos;1,092,324;611,571;480,753;76,761;76,696;70,156;76,656;77,982;76,109;62,359;77,103;76,270;Bye;25,462;76,536;44,392;69,449;76,596;53,850;75,947
Detroit Lions;1,054,328;502,061;552,267;61,352;70,164;61,769;90,155;63,405;Bye;65,265;65,237;66,825;61,393;61,999;65,684;60,974;62,014;59,110;61,641;77,341
Green Bay Packers;1,163,842;622,677;541,165;78,282;78,461;59,827;78,312;63,405;77,642;Bye;75,822;65,878;78,076;69,007;66,872;77,234;77,329;62,372;77,982;77,341
Houston Texans;1,112,480;574,439;538,041;65,878;62,372;71,838;57,716;72,008;71,638;66,534;71,726;76,270;Bye;61,593;71,826;71,741;71,814;77,982;69,696;71,848
Indianapolis Colts;1,006,361;473,598;532,763;58,699;57,013;69,696;57,716;65,878;77,982;56,848;54,372;Bye;57,473;57,401;57,069;67,030;71,814;66,654;61,738;68,978
Jacksonville Jaguars;1,109,899;552,589;557,310;77,992;68,527;64,015;65,353;75,289;90,767;66,534;85,870;Bye;57,473;67,683;57,799;67,030;60,344;67,577;65,798;71,848
Kansas City Chiefs;1,107,376;607,780;499,596;25,351;63,956;76,023;76,656;75,289;65,878;75,676;77,103;67,431;76,712;77,002;Bye;54,255;74,336;75,091;69,067;77,550
Los Angeles Chargers;803,556;262,145;541,411;25,351;69,187;68,947;25,397;25,362;67,431;84,301;Bye;68,989;54,750;25,462;25,343;61,069;25,358;75,091;25,571;75,947
Los Angeles Rams;1,102,409;579,439;522,970;53,857;66,515;68,947;72,027;68,893;76,109;66,597;75,822;73,086;72,755;77,002;Bye;60,974;61,695;74,210;61,759;72,161
Miami Dolphins;1,062,180;524,480;537,700;65,184;77,982;65,667;65,878;52,708;65,791;65,265;71,726;65,533;78,076;Bye;57,069;65,155;66,087;66,841;65,798;67,420
Minnesota Vikings;1,090,834;534,491;556,343;66,673;78,461;66,800;72,027;69,696;66,801;77,982;66,801;66,825;Bye;61,651;66,872;65,878;69,007;66,841;61,641;66,878
New England Patriots;1,068,530;527,024;541,506;65,878;68,527;61,769;65,878;65,878;65,878;62,389;70,109;65,878;69,363;Bye;77,982;65,878;66,087;65,280;65,878;65,878
New Orleans Saints;1,147,700;584,411;563,289;73,038;73,086;74,457;78,213;73,028;Bye;70,639;66,801;73,086;52,492;73,042;73,017;93,004;53,495;74,188;73,086;73,028
New York Giants;1,183,132;615,525;567,607;77,992;90,512;71,838;78,213;74,221;77,167;72,756;77,537;Bye;69,409;75,863;69,696;76,465;57,437;74,538;61,738;77,750
New York Jets;1,130,823;623,856;506,967;61,352;77,982;67,431;65,353;77,982;77,982;77,982;61,397;65,533;77,982;Bye;77,982;60,904;59,119;77,982;77,982;65,878
Oakland Raiders;955,258;463,353;491,905;53,857;76,696;65,667;53,387;25,362;84,922;Bye;54,372;69,592;54,750;62,435;70,035;54,255;53,960;44,568;53,850;77,550
Philadelphia Eagles;1,149,737;557,568;592,169;69,696;56,552;69,696;69,013;69,696;77,167;69,696;85,870;Bye;69,696;73,042;69,696;69,696;93,127;74,210;69,696;63,188
Pittsburgh Steelers;1,040,509;507,651;532,858;67,431;63,956;62,571;62,030;64,781;60,594;Bye;63,780;70,997;62,881;67,683;76,536;61,069;53,960;65,280;73,086;63,874
San Francisco 49ers;1,052,454;553,190;499,264;66,673;70,164;76,023;25,397;68,337;77,642;66,597;61,923;69,592;69,409;Bye;50,436;69,009;69,449;68,836;70,806;72,161
Seattle Seahawks;1,114,327;552,009;562,318;76,761;57,960;69,047;61,845;68,893;84,922;Bye;65,237;68,989;72,755;69,007;74,002;69,009;69,007;68,836;69,067;68,990
Tampa Bay Buccaneers;999,843;434,855;564,988;73,038;56,552;62,571;61,893;Bye;72,665;53,682;45,134;73,513;52,667;75,863;50,436;52,568;53,495;70,031;92,851;52,884
