Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Philadelphia Eagles;1,129,171;553,152;576,019;56,722;69,608;69,144;69,144;69,803;80,447;Bye;69,144;69,144;69,144;79,743;69,144;67,039;67,823;69,144;84,834;69,144
Pittsburgh Steelers;1,049,515;504,279;545,236;71,434;63,663;66,309;71,585;63,875;62,934;62,475;64,424;64,851;63,262;Bye;72,173;63,697;60,754;69,732;60,081;68,266
San Diego Chargers;1,064,892;523,143;541,749;66,716;68,756;62,236;63,002;74,895;Bye;79,088;72,733;68,908;68,109;62,344;64,436;62,743;62,494;67,242;62,469;58,721
San Francisco 49ers;1,065,296;557,856;507,440;69,732;69,732;43,363;69,144;69,732;62,061;Bye;69,732;78,032;69,732;69,732;71,345;69,732;60,808;69,732;66,697;55,990
Seattle Seahawks;1,070,956;531,311;539,645;69,732;63,663;66,199;66,266;78,650;Bye;66,350;66,004;81,510;66,522;56,400;66,007;67,039;66,577;61,542;66,697;61,798
St. Louis Rams;1,002,051;451,153;550,898;56,722;78,290;56,289;56,113;Bye;70,604;80,086;57,179;60,628;64,900;56,400;56,029;69,732;66,577;56,431;60,081;55,990
Tampa Bay Buccaneers;1,019,250;473,281;545,969;51,274;62,461;46,995;63,972;69,732;56,590;76,981;Bye;73,043;56,037;70,498;69,143;56,270;62,562;65,162;70,363;68,167
Tennessee Titans;1,077,697;553,144;524,553;61,619;69,143;69,143;66,240;63,875;Bye;69,143;69,143;69,143;72,409;68,164;69,143;56,463;69,143;64,271;69,143;71,512
Washington Redskins;1,158,341;615,368;542,973;80,121;76,330;91,017;56,113;Bye;80,447;73,245;51,579;78,032;57,007;80,122;66,007;74,121;77,825;78,861;68,370;69,144
;17,252,948;;;1,079,668;1,100,582;1,036,577;1,037,967;896,613;871,438;892,088;888,746;971,265;1,092,168;949,235;1,075,665;1,052,007;1,099,094;1,066,553;1,065,889;1,077,393
