Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,001,663;489,455;512,208;60,627;76,330;66,199;60,496;62,479;Bye;62,475;71,022;60,628;69,144;69,732;56,029;62,180;60,808;60,443;41,273;61,798
Atlanta Falcons;1,073,420;551,892;521,528;62,115;69,608;46,995;66,266;69,576;69,047;63,625;Bye;65,218;70,359;68,164;68,115;71,545;72,680;68,856;73,084;68,167
Baltimore Ravens;1,083,902;569,792;514,110;71,434;69,143;56,289;71,247;Bye;71,154;62,976;71,022;64,851;66,522;71,320;71,345;63,648;71,187;67,242;71,083;63,439
Buffalo Bills;1,032,609;490,443;542,166;68,755;68,191;68,174;41,142;69,803;79,243;Bye;51,579;70,133;85,157;57,531;79,088;56,463;62,494;60,988;45,112;68,756
Carolina Panthers;1,098,587;578,342;520,245;60,627;73,167;71,704;62,135;72,679;69,047;73,245;72,095;Bye;72,409;63,633;63,928;56,270;72,680;71,540;70,363;73,065
Chicago Bears;1,053,343;497,166;556,177;62,115;73,019;62,339;62,135;67,861;62,322;76,981;Bye;69,144;62,396;62,344;59,244;61,973;76,487;61,542;70,574;62,867
Cincinnati Bengals;923,005;394,009;528,996;67,321;73,281;43,363;41,142;61,799;52,068;Bye;66,004;69,143;63,262;71,320;48,260;63,697;41,202;56,431;41,273;63,439
Cleveland Browns;1,030,992;526,874;504,118;67,321;65,035;66,651;66,240;Bye;57,300;66,350;69,732;71,511;64,900;63,498;48,260;63,648;60,754;60,443;71,083;68,266
Dallas Cowboys;1,258,971;684,096;574,875;78,702;69,732;91,017;78,122;Bye;68,756;80,086;69,144;81,510;85,157;80,122;87,418;62,180;95,952;65,162;84,834;81,077
Denver Broncos;1,109,610;602,618;506,992;75,671;73,281;69,143;70,529;74,895;Bye;63,800;74,977;58,125;72,908;74,746;64,436;62,939;76,487;76,556;45,112;76,005
Detroit Lions;1,041,580;509,940;531,640;51,274;60,040;62,466;78,122;67,861;62,061;63,625;74,977;Bye;62,396;63,633;66,263;73,042;63,988;59,069;62,469;70,294
Green Bay Packers;1,123,023;564,097;558,926;70,555;73,167;62,339;70,529;69,576;70,604;63,946;Bye;68,908;70,519;70,498;66,263;80,634;70,524;74,093;70,574;70,294
Houston Texans;1,059,702;571,969;487,733;71,444;51,032;73,002;71,585;71,420;71,154;69,143;71,412;71,511;56,037;Bye;62,004;71,545;41,202;71,540;64,159;71,512
Indianapolis Colts;1,050,690;518,627;532,063;71,444;65,035;66,309;63,972;65,088;52,068;73,012;69,143;65,218;64,619;Bye;63,928;68,756;71,187;64,271;64,159;62,481
Jacksonville Jaguars;1,049,655;498,655;551,000;61,619;78,834;71,704;62,471;61,799;62,934;62,976;71,412;Bye;64,619;63,498;62,004;62,743;62,562;68,856;69,143;62,481
Kansas City Chiefs;1,107,206;576,659;530,547;68,755;60,040;62,236;72,931;65,088;Bye;57,361;72,733;72,263;72,908;68,756;72,173;61,973;79,088;74,093;70,803;76,005
Miami Dolphins;1,064,381;487,089;577,292;66,860;51,032;66,651;63,002;Bye;78,912;63,800;79,302;72,263;57,007;57,531;87,418;57,225;67,823;60,988;68,756;65,811
Minnesota Vikings;1,047,585;502,529;545,056;66,716;62,461;62,466;72,931;62,479;62,322;63,946;72,095;Bye;70,519;62,748;68,115;62,939;63,988;62,623;68,370;62,867
New England Patriots;1,114,691;550,048;564,643;66,860;68,756;68,174;62,572;68,756;68,756;Bye;64,424;68,756;79,088;68,756;69,144;68,756;77,825;76,556;68,756;68,756
New Orleans Saints;1,105,934;584,335;521,599;70,555;73,019;73,002;62,471;72,679;56,590;73,012;57,179;73,043;70,359;Bye;73,068;73,042;69,143;62,623;73,084;73,065
New York Giants;1,232,157;635,800;596,357;80,121;78,290;69,144;60,496;78,650;79,243;Bye;79,302;68,756;69,732;79,743;73,068;80,634;95,952;78,861;79,088;81,077
New York Jets;1,187,392;631,888;555,504;78,702;78,834;61,546;71,247;68,756;78,912;79,088;Bye;70,133;79,088;74,746;79,088;74,121;79,088;69,144;79,088;65,811
Oakland Raiders;1,018,629;473,938;544,691;75,671;68,191;61,546;62,572;71,420;57,300;57,361;Bye;58,125;68,109;62,748;59,244;57,225;70,524;59,069;70,803;58,721
