Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;39,894;9,600;30,294;;;;5,120;;25,174;1,200;Bye;4,200;4,200;;;;;;;
Atlanta Falcons;113,084;50,657;62,427;;21,708;;;6,656;;7,796;5,240;7,665;Bye;6,000;9,124;8,713;;10,703;13,470;16,009
Baltimore Ravens;39,018;4,345;34,673;;;;;;;Bye;4,345;12,200;;;;;11,974;;;10,499
Buffalo Bills;23,678;;23,678;;11,075;;;8,403;;;;;4,200;Bye;;;;;;
Carolina Panthers;55,958;34,229;21,729;;;;5,120;6,656;5,240;3,000;5,240;12,073;5,815;5,546;;Bye;5,768;;;1,500
Chicago Bears;36,556;;36,556;;;;;;5,240;;;13,871;;Bye;;;;;17,445;
Cincinnati Bengals;116,248;66,965;49,283;;6,000;;6,243;;12,453;9,732;9,712;Bye;5,909;;10,208;12,577;10,322;10,249;12,344;10,499
Cleveland Browns;150,365;80,440;69,925;;6,000;6,000;25,021;11,759;5,260;9,732;10,972;Bye;10,613;11,133;15,926;13,986;11,974;;;11,989
Dallas Cowboys;229,343;219,021;10,322;;21,708;;25,021;25,147;25,174;;;31,700;Bye;;30,048;;10,322;30,092;30,131;
Denver Broncos;47,133;21,122;26,011;;;5,226;;Bye;;5,314;5,231;7,665;;5,351;;12,578;5,768;;;
Detroit Lions;41,652;;41,652;;;;;Bye;14,513;7,796;;;;5,546;;;;13,797;;
Green Bay Packers;41,401;;41,401;;;748;;Bye;15,540;12,618;;;;12,495;;;;;;
Houston Texans;149,134;86,800;62,334;15,895;;;12,102;12,413;10,166;12,618;Bye;15,668;10,613;12,503;;12,316;;9,992;12,344;12,504
Indianapolis Colts;131,684;79,560;52,124;14,100;2,500;7,480;;11,759;12,453;Bye;;12,200;13,949;12,495;12,464;12,316;;9,992;;9,976
Jacksonville Jaguars;155,987;127,355;28,632;14,100;;16,563;6,243;12,413;14,513;;Bye;15,668;;17,244;15,926;;15,896;;17,445;9,976
Kansas City Chiefs;142,549;105,228;37,321;15,895;;;12,729;13,311;;5,314;11,932;12,073;Bye;;15,950;12,578;13,057;3,000;13,470;13,240
Las Vegas Raiders;33,407;;33,407;;;;;13,311;Bye;;10,972;;;;9,124;;;;;
Los Angeles Chargers;38,354;;38,354;;;;6,383;749;Bye;;5,231;;12,751;;;;;;;13,240
Los Angeles Rams;28,127;;28,127;;;;;;;;12,397;Bye;;15,730;;;;;;
Miami Dolphins;124,466;98,352;26,114;;11,075;16,563;12,369;;10,772;Bye;12,397;4,200;12,751;5,351;;12,577;13,057;13,354;;
Minnesota Vikings;33,633;;33,633;;2,500;;12,102;;;Bye;;;;;;;16,031;;3,000;
New England Patriots;38,586;;38,586;;;;12,729;Bye;;;;;;12,503;;;;13,354;;
New Orleans Saints;48,429;22,476;25,953;;;748;;749;Bye;3,000;;15,740;5,979;6,000;;8,713;;3,000;3,000;1,500
New York Giants;38,355;;38,355;;;;;25,147;;;;3,000;;Bye;10,208;;;;;
New York Jets;30,184;;30,184;;;7,480;;;10,772;;11,932;;Bye;;;;;;;
Philadelphia Eagles;45,972;;45,972;;;;;4,708;;;;Bye;;11,133;;;;;30,131;
Pittsburgh Steelers;101,759;15,877;85,882;;;;Bye;4,708;5,260;10,355;4,345;31,700;5,909;17,244;;;;10,249;;11,989
San Francisco 49ers;36,071;;36,071;;;;;;;;;;5,979;Bye;;;;30,092;;
Seattle Seahawks;13,569;;13,569;;;;12,369;;Bye;1,200;;;;;;;;;;
Tampa Bay Buccaneers;123,127;101,383;21,744;;;5,226;6,383;;15,540;;;15,740;5,815;15,730;15,950;Bye;16,031;10,703;;16,009
Tennessee Titans;135,103;84,527;50,576;;;;Bye;8,403;10,166;10,355;9,712;13,871;13,949;;12,464;13,986;15,896;13,797;;12,504
Washington Football Team;39,048;3,000;36,048;;;6,000;;;;;Bye;3,000;;;30,048;;;;;
;1,210,937;;;29,995;41,283;36,017;79,967;83,146;99,118;50,015;59,829;116,117;59,216;86,002;93,720;60,170;73,048;91,187;76,390;75,717
