Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Houston Texans;1,115,983;574,132;541,851;71,770;54,063;77,462;71,756;91,159;71,787;56,375;69,143;71,780;Bye;67,431;71,777;71,714;61,070;65,148;71,771;71,777
Indianapolis Colts;1,101,258;523,004;578,254;76,939;64,871;60,601;64,757;65,258;71,787;66,539;62,479;77,975;Bye;66,751;64,328;65,352;67,431;65,148;91,899;69,143
Jacksonville Jaguars;1,066,627;524,335;542,292;69,596;80,037;60,601;56,553;66,198;69,143;61,341;65,633;60,057;83,603;Bye;64,328;64,687;61,070;70,801;61,202;71,777
Kansas City Chiefs;1,127,251;599,743;527,508;73,569;76,900;70,313;76,613;70,799;Bye;65,260;75,972;74,127;68,119;76,463;52,865;76,894;62,387;72,153;60,865;73,952
Miami Dolphins;1,128,798;560,280;568,518;70,630;69,954;70,313;83,436;Bye;70,875;62,413;65,633;70,222;63,179;71,573;76,987;78,160;70,244;68,756;66,203;70,220
Minnesota Vikings;940,423;417,906;522,517;55,919;52,350;73,005;52,173;78,054;52,213;68,477;56,577;52,252;Bye;61,792;52,386;52,016;52,152;62,490;66,203;52,364
New England Patriots;1,111,983;550,048;561,935;70,630;52,350;68,756;76,613;68,756;70,185;68,756;68,756;68,756;Bye;66,751;68,756;78,431;68,815;68,756;78,160;68,756
New Orleans Saints;1,133,987;584,900;549,087;70,706;67,407;73,005;91,176;73,004;Bye;63,271;73,146;73,663;73,129;73,073;73,373;61,916;73,006;60,996;73,164;59,952
New York Giants;1,195,369;631,738;563,631;64,401;78,344;77,462;80,573;80,307;69,596;91,028;Bye;77,975;68,352;80,352;80,520;64,687;69,143;77,628;55,851;79,150
New York Jets;1,157,234;625,280;531,954;78,160;78,041;78,160;78,160;63,471;78,160;68,756;78,160;74,127;78,160;Bye;56,044;78,160;52,152;69,143;78,160;70,220
Oakland Raiders;1,013,469;459,333;554,136;78,160;54,063;68,756;83,436;Bye;53,329;52,101;67,431;68,337;54,803;66,720;52,865;55,650;55,300;72,153;53,436;76,929
Philadelphia Eagles;1,153,703;556,768;596,935;69,596;64,871;69,596;70,799;69,596;69,596;Bye;61,789;71,780;69,596;78,270;69,596;91,379;69,596;69,596;78,897;79,150
Pittsburgh Steelers;1,060,542;497,811;562,731;64,598;71,181;73,945;62,910;66,198;67,431;56,375;62,479;63,971;78,160;69,143;Bye;61,916;65,512;71,161;60,865;64,697
San Diego Chargers;1,069,529;523,457;546,072;61,292;67,916;68,611;56,553;63,471;53,329;65,260;76,907;70,222;Bye;66,720;66,040;71,060;68,815;68,682;70,699;73,952
San Francisco 49ers;1,130,143;566,192;563,951;91,174;70,799;61,572;70,799;70,799;56,851;77,047;Bye;70,799;73,129;80,352;70,799;70,799;55,300;68,526;70,699;70,699
Seattle Seahawks;1,107,297;547,298;559,999;68,424;67,916;68,447;Bye;79,522;68,432;57,855;74,042;68,337;68,352;76,463;68,327;70,799;69,596;68,526;63,806;68,453
St. Louis Rams;999,412;456,146;543,266;55,919;59,923;58,739;Bye;69,596;56,851;57,855;75,972;70,799;61,363;59,401;66,040;55,650;71,120;55,880;55,851;68,453
Tampa Bay Buccaneers;1,023,818;477,273;546,545;62,442;59,923;70,318;62,910;73,004;60,041;Bye;56,577;67,431;57,751;77,442;61,109;56,340;61,489;72,842;64,247;59,952
Tennessee Titans;1,096,866;553,144;543,722;73,569;69,143;56,743;64,757;69,143;69,143;75,227;69,143;Bye;70,914;69,143;69,596;71,714;69,143;69,143;61,202;69,143
Washington Redskins;1,179,306;623,715;555,591;71,770;80,037;69,596;80,573;79,522;61,139;75,227;87,055;52,252;Bye;77,442;70,799;65,352;71,120;77,628;78,897;80,897
;17,606,643;;;1,112,970;1,093,089;1,086,093;921,860;1,088,596;976,947;1,014,980;1,056,333;905,058;893,132;984,212;1,002,953;1,096,706;1,063,248;1,091,447;1,091,537;1,127,482
