Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,053,326;495,835;557,491;61,292;78,344;61,572;Bye;76,895;61,139;52,101;61,789;85,688;61,363;62,487;68,327;69,557;62,387;55,880;63,806;70,699
Atlanta Falcons;1,121,026;577,047;543,979;70,706;58,574;70,318;52,173;80,307;70,712;71,184;83,532;Bye;57,751;73,314;70,046;69,557;77,512;71,161;73,164;71,015
Baltimore Ravens;1,096,129;568,353;527,776;70,925;71,181;67,407;71,218;65,258;60,041;71,184;55,711;63,971;70,914;Bye;73,373;71,060;70,244;70,801;71,771;71,070
Buffalo Bills;1,085,974;540,180;545,794;62,425;69,954;68,611;71,756;62,775;70,185;68,477;78,160;Bye;68,119;71,573;56,044;68,576;76,913;70,214;53,436;68,756
Carolina Panthers;1,123,313;588,861;534,452;62,442;73,586;73,945;71,218;73,659;57,053;78,106;74,042;73,663;69,596;73,314;Bye;52,016;73,006;72,842;73,810;71,015
Chicago Bears;1,050,366;493,449;556,917;62,425;70,799;78,160;61,736;73,659;70,712;62,413;68,756;Bye;78,292;61,792;61,109;64,175;61,558;60,996;61,420;52,364
Cincinnati Bengals;1,025,166;485,628;539,538;70,925;58,574;56,743;Bye;68,756;57,053;66,539;55,711;60,057;65,871;73,073;71,777;56,340;65,512;67,431;66,107;64,697
Cleveland Browns;1,083,855;539,400;544,455;64,598;67,407;67,407;Bye;69,143;67,431;61,341;67,431;67,431;65,871;67,431;70,046;68,576;67,431;67,431;73,810;71,070
Dallas Cowboys;1,293,046;720,558;572,488;91,174;69,143;58,739;91,176;91,159;68,432;91,028;87,055;85,688;83,603;Bye;80,520;91,379;61,558;69,596;91,899;80,897
Denver Broncos;1,156,767;615,517;541,250;76,939;76,900;68,447;Bye;76,895;78,160;77,047;76,907;68,756;54,803;59,401;76,987;76,894;76,913;68,682;66,107;76,929
Detroit Lions;1,062,760;504,198;558,562;64,401;73,586;62,418;78,160;62,775;52,213;63,271;83,532;Bye;63,179;62,487;68,756;64,175;61,489;62,490;61,420;78,408
Green Bay Packers;1,148,560;625,114;523,446;68,424;78,041;62,418;61,736;78,054;70,875;78,106;73,146;Bye;78,292;78,270;52,386;78,431;77,512;70,214;64,247;78,408
