Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,063,084;513,741;549,343;60,957;63,137;65,102;64,121;69,596;63,999;73,736;Bye;70,133;64,639;71,680;63,891;63,986;64,153;71,026;63,850;69,078
Atlanta Falcons;1,123,058;575,681;547,377;61,857;70,826;63,240;71,273;Bye;70,593;65,878;77,562;74,244;73,761;69,026;71,036;71,185;72,866;62,382;73,188;74,141
Baltimore Ravens;1,088,056;564,709;523,347;55,254;70,605;84,592;71,126;54,980;70,616;66,751;70,408;67,322;Bye;77,945;70,357;70,500;60,069;56,434;70,590;70,507
Buffalo Bills;1,040,917;534,200;506,717;68,751;74,122;68,865;71,273;52,367;Bye;68,561;69,599;77,562;67,501;25,015;74,929;68,499;60,222;62,202;65,878;65,571
Carolina Panthers;1,133,961;588,942;545,019;70,178;74,122;73,775;65,878;64,288;74,373;61,256;58,545;74,244;72,790;Bye;77,562;73,171;73,728;74,447;71,463;74,141
Chicago Bears;1,021,219;488,137;533,082;61,857;56,640;61,172;78,362;61,834;70,616;61,256;73,192;Bye;61,285;60,635;69,596;61,302;52,002;65,872;58,796;66,802
Cincinnati Bengals;978,253;425,937;552,316;55,254;52,942;78,323;67,431;52,367;Bye;65,363;57,901;60,720;67,432;75,707;51,710;56,029;52,002;66,833;47,732;70,507
Cleveland Browns;968,007;511,060;456,947;67,431;70,605;63,351;67,431;62,032;71,815;59,061;74,237;Bye;64,646;57,003;51,710;25,320;67,431;56,434;58,796;50,704
Dallas Cowboys;1,309,211;741,775;567,436;93,183;76,919;65,102;91,869;93,329;Bye;70,133;78,428;93,273;73,761;93,247;93,012;91,712;78,125;55,372;92,150;69,596
Denver Broncos;1,106,590;610,846;495,744;76,324;76,919;68,865;76,909;Bye;76,721;25,388;76,573;69,596;76,820;75,707;53,930;65,092;75,518;63,411;72,889;75,928
Detroit Lions;1,046,765;513,100;533,665;60,957;77,004;63,240;66,730;64,288;73,117;Bye;64,983;77,575;64,646;60,635;66,613;70,500;60,372;65,872;47,732;62,501
Green Bay Packers;1,183,556;624,742;558,814;78,381;70,826;78,323;78,362;93,329;66,848;78,380;Bye;77,575;61,285;77,945;62,147;77,684;67,431;74,447;78,092;62,501
Houston Texans;1,080,447;574,197;506,250;71,710;52,942;65,878;71,804;71,835;71,815;Bye;69,025;71,709;60,032;71,680;70,357;62,758;71,802;64,701;71,842;60,557
Indianapolis Colts;1,022,042;507,525;514,517;60,128;63,137;63,351;68,872;65,612;63,888;63,104;57,901;71,709;66,146;Bye;62,207;61,207;60,222;63,411;70,590;60,557
Jacksonville Jaguars;1,049,568;514,427;535,141;71,710;61,709;84,592;77,562;66,237;56,232;63,104;Bye;60,720;60,835;57,003;63,891;61,207;64,431;64,701;70,133;65,501
Kansas City Chiefs;1,134,166;592,851;541,315;65,878;74,971;25,386;74,587;71,835;76,994;55,090;76,573;93,273;Bye;76,363;74,929;77,562;74,461;75,011;65,325;75,928
Los Angeles Chargers;783,367;202,687;580,680;76,324;25,381;25,386;25,374;77,373;54,685;25,388;65,878;Bye;60,835;25,015;93,012;25,320;25,393;75,011;77,562;25,430
Los Angeles Rams;1,062,261;507,136;555,125;60,128;56,612;70,178;91,869;60,745;56,232;73,736;Bye;76,877;60,032;66,809;62,006;63,986;67,752;69,077;60,097;66,125
Miami Dolphins;1,051,161;541,022;510,139;Bye;25,381;77,562;84,423;65,135;70,593;65,025;70,408;65,139;72,790;65,089;65,878;65,092;65,548;62,202;65,325;65,571
Minnesota Vikings;1,099,905;533,769;566,136;66,606;65,971;66,390;66,730;61,834;66,848;66,751;74,237;Bye;74,476;66,809;66,613;71,185;73,728;66,833;78,092;66,802
New England Patriots;1,099,028;527,024;572,004;65,878;73,168;65,878;65,878;64,476;77,562;65,878;65,878;Bye;76,820;77,357;65,878;68,499;65,548;68,574;65,878;65,878
New Orleans Saints;1,146,046;585,113;560,933;66,606;73,168;73,775;84,423;Bye;73,117;78,380;73,192;73,121;67,501;73,138;62,006;73,171;72,866;73,018;73,188;55,376
New York Giants;1,183,037;617,434;565,603;93,183;77,004;69,596;63,916;77,373;76,721;78,527;Bye;76,877;70,133;76,363;73,210;54,994;78,125;76,896;63,850;76,269
New York Jets;1,143,358;620,496;522,862;68,751;54,729;77,562;77,562;62,032;77,562;65,025;77,562;77,562;57,911;Bye;77,562;77,562;75,518;73,018;77,562;65,878
Oakland Raiders;988,483;461,137;527,346;69,089;54,729;77,123;76,909;54,980;54,685;55,090;69,599;65,139;Bye;77,357;53,930;54,994;74,461;55,372;69,596;25,430
Philadelphia Eagles;1,117,141;556,768;560,373;78,685;74,971;69,596;25,374;69,596;74,373;69,596;69,596;69,596;Bye;93,247;69,596;69,075;67,752;76,896;69,596;69,596
Pittsburgh Steelers;1,035,491;499,768;535,723;67,431;65,971;61,172;71,126;66,237;76,994;65,363;64,983;Bye;66,146;60,703;62,147;56,029;60,069;68,574;71,842;50,704
San Francisco 49ers;1,104,010;561,155;542,855;70,178;68,729;70,178;64,121;65,612;75,568;70,133;69,596;70,133;70,133;Bye;70,134;61,302;71,802;70,133;70,133;66,125
Seattle Seahawks;1,129,943;551,809;578,134;78,381;68,729;69,127;68,872;60,745;Bye;78,527;69,025;68,927;64,639;69,026;70,134;69,075;64,431;69,077;92,150;69,078
Tampa Bay Buccaneers;1,036,961;479,618;557,343;Bye;56,640;66,390;63,916;64,476;63,999;68,561;58,545;73,121;57,911;65,089;71,036;77,684;60,372;62,382;71,463;55,376
Tennessee Titans;1,040,119;525,214;514,905;69,089;61,709;69,127;71,804;65,135;63,888;59,061;Bye;67,322;67,432;60,703;62,207;62,758;64,153;70,133;60,097;65,501
Washington Redskins;1,137,639;601,405;536,234;78,685;56,612;77,123;74,587;Bye;75,568;69,596;78,428;68,927;74,476;73,138;73,210;91,712;25,393;71,026;72,889;76,269
;17,253,425;;;1,044,412;1,023,465;1,079,660;1,120,237;929,839;973,011;965,849;905,927;946,198;938,407;949,717;1,088,218;1,050,076;1,033,873;1,075,389;1,109,183;1,019,964
