Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,083,135;518,652;564,483;64,864;64,230;68,647;64,622;70,178;64,709;65,089;74,088;Bye;65,127;66,808;69,233;64,939;65,750;65,072;69,050;80,729
Atlanta Falcons;1,116,392;559,998;556,394;69,382;54,081;73,003;70,508;76,802;69,071;69,832;70,165;57,797;69,596;Bye;69,233;69,879;82,495;70,164;73,549;70,835
Baltimore Ravens;1,134,133;568,823;565,310;71,104;67,431;60,127;71,152;71,318;78,487;78,160;Bye;71,286;70,921;93,056;70,903;70,916;66,829;71,223;66,276;54,944
Buffalo Bills;1,098,702;548,073;550,629;71,104;70,256;68,647;66,829;83,679;70,003;65,658;70,442;69,084;Bye;61,356;67,849;54,759;69,657;66,529;64,690;78,160
Carolina Panthers;1,159,680;590,343;569,337;76,843;74,143;73,813;70,508;73,425;73,138;Bye;74,088;86,109;74,181;73,288;54,909;69,104;73,856;76,689;73,549;62,037
Chicago Bears;1,060,607;482,951;577,656;71,933;62,268;90,554;60,841;66,622;61,054;78,217;60,422;Bye;62,898;78,898;59,494;59,782;61,726;61,137;57,953;66,808
Cincinnati Bengals;1,088,770;508,071;580,699;78,160;65,072;63,850;60,834;91,653;66,829;65,047;84,488;Bye;76,218;61,356;70,903;55,456;60,028;62,096;71,836;54,944
Cleveland Browns;1,044,825;514,489;530,336;69,596;67,431;65,176;76,249;67,431;60,897;65,047;67,431;67,431;70,921;67,431;60,034;Bye;60,028;66,529;57,272;55,921
Dallas Cowboys;1,322,087;740,318;581,769;92,867;80,612;90,554;70,178;91,653;78,481;Bye;93,103;67,431;67,737;93,056;93,099;66,860;80,874;93,101;92,885;69,596
Denver Broncos;1,133,943;614,193;519,750;76,843;76,379;63,850;60,375;76,802;58,904;76,865;76,756;54,957;73,138;Bye;76,819;63,075;68,780;76,893;76,671;76,836
Detroit Lions;1,075,305;486,342;588,963;65,566;58,466;78,411;60,841;58,047;56,018;60,461;71,882;66,807;Bye;61,486;63,793;73,137;61,726;79,434;92,885;66,345
Green Bay Packers;1,169,215;625,727;543,488;63,179;66,813;78,411;Bye;78,401;78,481;78,217;70,165;78,437;69,116;77,137;69,596;77,867;78,057;61,137;77,856;66,345
Houston Texans;1,132,210;574,947;557,263;71,933;71,890;66,829;71,815;66,683;71,891;76,865;71,882;Bye;62,091;76,473;71,897;77,867;65,250;71,803;71,836;65,205
