Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Indianapolis Colts;1,100,210;524,393;575,817;65,566;76,379;64,747;83,764;66,622;71,891;65,470;65,417;78,437;Bye;65,048;66,583;78,160;65,250;66,820;54,896;65,160
Jacksonville Jaguars;1,031,602;517,172;514,430;63,179;52,165;60,127;83,764;Bye;61,054;62,614;61,619;73,294;62,091;61,486;67,849;63,075;62,701;71,803;59,621;65,160
Kansas City Chiefs;1,115,214;586,624;528,590;73,238;71,890;71,587;61,278;Bye;54,211;76,282;65,417;73,294;74,181;72,277;76,819;69,879;75,191;68,084;76,671;54,915
Los Angeles Rams;1,198,268;665,318;532,950;70,178;91,046;55,009;64,622;83,679;56,018;74,121;Bye;86,109;78,160;83,483;73,067;66,829;82,495;69,067;83,656;80,729
Miami Dolphins;1,073,132;524,101;549,031;69,012;66,829;65,176;60,834;64,425;65,351;65,658;Bye;65,722;55,107;83,483;65,856;70,916;65,750;78,160;64,690;66,163
Minnesota Vikings;1,084,502;534,289;550,213;63,816;66,813;73,813;66,690;66,683;Bye;69,596;60,422;66,807;78,216;66,808;63,793;66,860;62,701;66,820;77,856;66,808
New England Patriots;1,094,772;534,632;560,140;64,864;66,829;66,829;66,829;67,431;66,829;66,009;70,442;Bye;66,829;70,178;78,160;66,829;66,829;76,893;66,829;66,163
New Orleans Saints;1,141,039;584,876;556,163;73,028;77,727;73,003;60,641;Bye;73,138;76,282;73,188;70,178;73,138;73,288;73,067;73,137;62,140;65,072;73,177;70,835
New York Giants;1,217,320;630,315;587,005;92,867;77,727;78,368;66,690;78,401;78,487;74,121;Bye;80,309;76,218;78,898;60,034;65,825;80,874;79,434;69,596;79,471
New York Jets;1,168,377;625,280;543,097;78,160;70,256;71,587;78,160;66,385;64,709;78,160;67,431;65,722;78,160;Bye;78,160;78,160;70,178;78,160;66,829;78,160
Oakland Raiders;1,009,172;458,561;550,611;73,028;54,081;62,370;71,152;54,275;54,211;62,614;61,068;54,957;Bye;76,473;54,909;54,759;75,191;68,352;54,896;76,836
Philadelphia Eagles;1,125,298;556,768;568,530;69,596;62,268;69,596;Bye;58,047;78,934;69,596;93,103;80,309;69,596;69,190;69,596;55,456;69,596;71,223;69,596;69,596
Pittsburgh Steelers;1,065,627;514,503;551,124;79,124;65,072;69,596;61,278;66,385;65,351;66,009;Bye;71,286;67,737;67,431;66,583;65,825;69,657;62,096;66,276;55,921
San Diego Chargers;998,070;456,197;541,873;73,238;52,165;64,747;60,641;54,275;58,904;69,832;76,756;52,281;55,107;Bye;71,897;53,832;73,856;68,352;57,272;54,915
San Francisco 49ers;1,119,165;561,424;557,741;70,178;74,143;69,010;70,178;70,178;70,003;70,178;Bye;70,178;65,127;70,178;65,856;59,782;70,178;70,164;83,656;70,178
Seattle Seahawks;1,138,809;552,588;586,221;69,012;91,046;69,010;78,160;Bye;69,071;65,089;73,188;69,084;66,829;69,190;63,674;69,104;78,057;69,067;69,050;70,178
Tampa Bay Buccaneers;1,054,600;484,998;569,602;69,382;64,230;55,009;60,375;73,425;Bye;70,178;61,068;57,797;62,898;72,277;63,674;53,832;62,140;93,101;73,177;62,037
Tennessee Titans;1,016,507;517,273;499,234;63,816;58,466;62,370;71,815;64,425;60,897;65,470;61,619;52,281;69,116;65,048;59,494;Bye;68,780;68,084;59,621;65,205
Washington Redskins;1,206,654;626,432;580,222;79,124;80,612;78,368;76,249;71,318;78,934;60,461;84,488;Bye;78,216;77,137;93,099;64,939;69,596;76,689;57,953;79,471
;17,788,671;;;1,151,890;1,099,408;1,111,097;1,023,936;989,324;1,007,978;1,043,599;930,069;893,692;969,335;1,016,109;1,104,966;990,420;1,113,108;1,144,624;1,115,813;1,083,303
