Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Houston Texans;1,098,814;574,159;524,655;71,776;73,254;71,718;69,904;71,732;58,085;65,251;71,630;Bye;61,381;71,718;71,778;68,544;71,908;66,083;62,153;71,899
Indianapolis Colts;1,067,476;528,381;539,095;70,319;65,220;65,920;65,609;71,732;66,726;66,420;74,136;66,894;Bye;70,433;65,696;58,701;62,372;66,083;65,482;65,733
Jacksonville Jaguars;1,056,511;514,268;542,243;60,733;65,443;66,829;65,609;58,490;58,085;84,021;Bye;78,160;70,837;60,121;59,477;57,355;62,372;64,016;73,064;71,899
Kansas City Chiefs;1,130,807;602,228;528,579;71,776;76,404;78,214;57,498;75,799;52,480;76,365;83,624;Bye;76,973;65,837;72,493;55,010;72,314;70,791;69,115;76,114
Miami Dolphins;1,093,320;537,548;555,772;76,512;65,443;64,869;83,986;Bye;62,342;65,251;66,829;70,214;69,596;65,115;78,160;64,519;65,408;66,676;65,482;62,918
Minnesota Vikings;958,016;419,440;538,576;70,499;52,319;52,400;77,029;Bye;52,480;60,231;62,311;52,406;54,700;52,529;70,610;52,430;64,784;52,421;52,455;78,412
New England Patriots;1,136,287;534,632;601,655;66,829;70,858;66,829;Bye;93,054;66,726;66,829;66,829;66,829;81,061;66,829;76,970;66,829;71,908;66,829;78,160;62,918
New Orleans Saints;1,135,027;584,305;550,722;62,903;73,006;73,402;73,009;69,296;73,018;66,420;73,019;73,075;75,086;Bye;71,778;73,097;62,138;73,017;73,064;69,699
New York Giants;1,198,163;632,011;566,152;93,579;77,678;76,081;70,677;78,515;69,296;80,319;73,019;64,351;81,061;Bye;77,367;80,898;65,408;79,436;52,455;78,023
New York Jets;1,207,646;625,280;582,366;78,160;65,220;78,160;83,986;Bye;78,160;66,829;54,700;78,160;78,160;71,718;78,160;80,898;78,160;90,345;78,160;68,670
Oakland Raiders;970,514;436,397;534,117;54,500;53,500;67,431;62,409;54,500;Bye;67,542;54,700;65,520;54,700;60,202;58,075;55,010;76,824;55,087;54,400;76,114
Philadelphia Eagles;1,154,629;555,868;598,761;70,516;69,296;78,160;74,767;69,296;69,296;74,194;Bye;91,827;69,596;69,596;64,445;66,829;69,596;69,596;69,596;78,023
Pittsburgh Steelers;1,050,712;514,854;535,858;66,829;66,472;52,433;63,929;67,658;63,846;76,365;64,750;65,520;64,402;Bye;69,055;58,701;65,564;67,234;71,261;66,693
San Diego Chargers;1,056,457;534,180;522,277;66,093;57,579;52,400;63,710;67,658;78,434;67,542;70,829;68,033;Bye;65,837;59,477;68,631;72,314;66,676;54,400;76,844
San Francisco 49ers;1,082,259;566,092;516,167;70,499;66,472;63,663;70,799;78,515;70,799;70,799;51,207;70,799;Bye;68,993;70,799;62,088;63,916;70,799;61,313;70,799
Seattle Seahawks;1,097,931;552,162;545,769;51,792;78,433;69,002;69,005;65,004;69,020;70,799;91,486;Bye;69,005;68,993;69,055;52,430;71,179;69,002;69,080;64,646
St. Louis Rams;957,670;419,220;538,450;51,792;72,460;52,433;63,146;78,432;Bye;51,523;51,207;52,406;58,653;71,105;61,022;51,115;51,202;51,295;69,080;70,799
Tampa Bay Buccaneers;1,041,376;492,460;548,916;63,945;73,006;71,718;57,468;58,490;Bye;72,912;70,524;64,351;64,113;69,596;65,696;58,221;62,138;51,295;63,734;74,169
Tennessee Titans;1,045,359;498,435;546,924;63,945;67,431;65,920;Bye;65,670;62,342;63,329;71,630;73,075;63,591;60,121;58,075;57,355;78,160;66,829;62,153;65,733
Washington Redskins;1,196,087;609,672;586,415;76,512;72,460;76,081;74,767;70,178;78,160;72,912;Bye;66,829;75,086;74,418;77,367;80,444;61,026;80,124;69,596;90,127
;17,509,479;;;1,097,396;1,081,704;1,104,357;1,022,945;980,190;936,878;964,457;979,551;908,385;966,084;924,124;1,129,724;1,025,864;1,089,180;1,092,751;1,072,712;1,133,177
