Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,028,446;513,487;514,959;62,903;62,351;63,663;63,146;60,816;63,846;64,722;67,431;Bye;69,005;64,745;70,799;51,115;64,784;69,596;64,878;64,646
Atlanta Falcons;1,134,671;562,845;571,826;70,516;77,678;90,345;69,904;70,178;73,018;63,329;70,524;70,799;Bye;70,433;70,610;58,221;74,420;64,016;70,981;69,699
Baltimore Ravens;1,083,919;568,018;515,901;76,798;53,500;70,970;63,929;71,046;70,799;64,722;70,829;Bye;70,837;71,105;64,380;64,519;71,179;70,791;71,261;57,254
Buffalo Bills;1,140,809;559,047;581,762;70,319;70,858;64,869;70,677;65,670;69,593;84,021;Bye;70,214;78,160;66,829;72,493;68,544;69,596;80,124;70,172;68,670
Carolina Panthers;1,157,689;592,454;565,235;60,733;73,254;73,402;57,468;Bye;69,020;74,194;74,136;74,461;63,591;74,418;90,909;73,097;74,420;79,436;70,981;74,169
Chicago Bears;1,020,065;496,287;523,778;62,442;62,351;69,002;62,409;75,799;57,648;Bye;62,311;68,033;58,653;62,483;78,488;62,088;61,026;52,421;63,734;61,177
Cincinnati Bengals;1,028,118;491,118;537,000;54,500;57,579;70,970;57,498;65,004;69,593;Bye;64,750;65,816;61,381;64,745;61,022;64,775;65,564;70,799;76,868;57,254
Cleveland Browns;1,062,262;529,488;532,774;78,160;67,431;67,431;63,710;71,046;67,431;51,523;67,431;65,816;64,402;Bye;64,380;64,775;63,916;69,002;69,115;66,693
Dallas Cowboys;1,312,509;731,672;580,837;93,579;69,296;90,345;73,009;93,054;Bye;80,319;91,486;91,827;64,113;65,115;90,909;80,444;78,369;90,345;70,172;90,127
Denver Broncos;1,141,878;615,381;526,497;76,798;76,404;62,920;77,029;54,500;67,431;Bye;77,075;66,894;76,973;62,483;76,970;68,631;76,824;67,234;76,868;76,844
Detroit Lions;1,025,745;490,782;534,963;66,093;52,319;62,920;69,005;60,816;57,648;60,231;83,624;Bye;78,526;60,202;64,445;63,207;51,202;73,017;61,313;61,177
Green Bay Packers;1,147,786;627,308;520,478;62,442;78,433;78,214;70,799;78,432;78,434;Bye;77,075;74,461;78,526;52,529;78,488;63,207;78,369;55,087;64,878;78,412
