Tm;Total;Home;Away;Week 1;Week 2;Week 3;Week 4;Week 5;Week 6;Week 7;Week 8;Week 9;Week 10;Week 11;Week 12;Week 13;Week 14;Week 15;Week 16;Week 17
Arizona Cardinals;1,000,509;490,586;509,923;60,687;70,126;60,104;60,500;46,012;60,140;73,577;73,064;60,986;40,038;69,419;Bye;60,944;63,880;63,345;69,022;68,665
Atlanta Falcons;1,099,463;572,811;526,652;66,714;72,443;60,295;72,108;71,787;60,140;71,856;71,483;Bye;73,283;73,106;71,463;71,993;70,592;70,910;70,873;50,417
Baltimore Ravens;1,091,363;565,020;526,343;65,012;70,126;73,390;70,686;64,037;70,051;69,012;Bye;71,157;45,918;70,731;72,409;71,029;69,134;70,545;67,431;70,695
Buffalo Bills;1,123,350;550,713;572,637;78,523;74,569;69,448;70,317;66,910;Bye;68,340;69,435;67,685;67,431;64,187;67,338;90,445;69,134;64,694;65,878;69,016
Carolina Panthers;1,122,333;577,765;544,568;72,005;71,101;60,104;71,699;72,762;60,087;Bye;69,083;72,540;78,090;73,106;73,068;71,504;70,592;72,544;61,845;72,203
Chicago Bears;1,051,152;495,332;555,820;62,435;76,885;67,327;62,131;60,463;Bye;62,306;61,632;69,796;61,758;70,758;61,581;65,412;61,276;78,266;62,213;66,913
Cincinnati Bengals;907,640;377,432;530,208;68,710;50,666;69,448;57,959;46,012;70,051;42,784;83,720;Bye;45,918;51,921;47,423;39,804;67,431;57,066;60,968;47,759
Cleveland Browns;1,075,124;539,448;535,676;67,431;78,523;67,431;70,686;70,585;67,431;Bye;65,878;76,743;67,431;67,431;67,431;62,157;67,431;63,345;67,431;47,759
Dallas Cowboys;1,289,027;727,432;561,595;90,353;75,128;90,127;73,086;93,024;78,523;91,213;Bye;76,107;91,188;61,801;65,878;90,445;61,276;90,436;69,796;90,646
Denver Broncos;1,104,191;607,497;496,694;52,359;76,885;78,078;76,219;25,357;75,815;76,748;61,653;76,743;Bye;66,883;67,338;74,638;71,769;73,257;74,115;76,334
Detroit Lions;1,011,888;490,737;521,151;60,687;60,158;69,796;65,188;Bye;76,947;60,314;58,509;53,318;61,758;61,801;57,754;65,412;66,776;56,515;74,115;62,840
Green Bay Packers;1,154,661;622,762;531,899;62,435;78,416;78,078;77,509;93,024;76,947;78,160;73,558;25,435;78,090;Bye;71,500;75,950;77,296;78,266;67,157;62,840
Houston Texans;1,075,836;574,345;501,491;73,039;71,651;25,349;71,699;71,787;73,323;59,977;71,893;84,771;Bye;70,731;71,727;72,025;71,769;65,265;49,036;71,794
Indianapolis Colts;965,049;488,886;476,163;25,363;62,849;60,295;62,259;73,352;Bye;59,977;61,653;61,115;60,510;61,986;71,727;60,361;50,232;73,053;61,845;58,472
Jacksonville Jaguars;1,014,675;504,686;509,989;60,157;71,651;58,613;76,219;72,762;64,341;42,784;57,833;84,771;Bye;61,986;60,926;62,633;57,866;52,788;70,873;58,472
Kansas City Chiefs;1,115,771;587,723;528,048;60,157;52,748;73,390;65,188;73,352;73,323;76,748;73,558;73,615;68,864;76,252;Bye;73,548;65,878;73,257;62,213;73,680
Los Angeles Chargers;760,644;254,007;506,637;25,363;60,158;25,349;64,278;25,357;25,425;62,431;61,632;25,435;51,954;76,252;Bye;74,638;57,866;25,446;25,380;73,680
Los Angeles Rams;1,147,715;582,325;565,390;72,005;71,460;67,431;68,117;68,988;75,695;71,856;83,720;Bye;63,627;70,758;72,409;60,944;71,501;90,436;70,103;68,665
Miami Dolphins;1,067,487;504,540;562,947;65,012;65,513;90,127;64,278;Bye;59,808;68,340;59,244;59,229;60,510;64,187;67,431;65,545;78,523;72,894;60,968;65,878
Minnesota Vikings;1,070,025;534,794;535,231;66,714;78,416;66,738;62,131;75,041;66,837;60,314;66,776;73,615;91,188;66,883;Bye;69,080;66,776;25,446;67,157;66,913
New England Patriots;1,087,904;527,024;560,880;65,878;65,513;65,878;70,317;76,483;65,878;78,523;65,878;71,157;Bye;69,796;65,878;72,025;65,878;57,066;65,878;65,878
New Orleans Saints;1,117,057;584,660;532,397;73,039;71,460;69,005;73,086;73,029;64,341;62,306;73,064;Bye;73,283;54,333;73,068;71,993;73,038;73,053;66,756;72,203
New York Giants;1,143,109;597,316;545,793;90,353;74,569;55,070;74,149;75,041;65,878;73,577;58,509;76,107;78,523;Bye;61,581;75,950;69,796;72,894;66,083;75,029
New York Jets;1,116,711;628,184;488,527;78,523;78,523;65,878;Bye;69,796;78,523;78,523;57,833;59,229;78,523;56,426;78,523;39,804;78,523;70,545;78,523;69,016
Oakland Raiders;961,146;428,311;532,835;52,359;52,748;66,738;62,259;60,463;Bye;78,160;71,893;53,318;51,954;51,921;78,523;73,548;52,760;52,788;25,380;76,334
Philadelphia Eagles;1,139,525;558,268;581,257;69,696;72,443;69,796;77,509;69,796;66,837;91,213;69,435;69,796;Bye;69,796;69,796;65,545;69,796;63,246;69,796;75,029
Pittsburgh Steelers;986,590;497,896;488,694;65,878;65,063;69,439;57,959;64,037;25,425;Bye;59,244;61,115;63,627;67,431;47,423;62,157;63,880;64,694;78,523;70,695
San Francisco 49ers;1,080,454;562,443;518,011;55,976;50,666;69,439;Bye;70,585;75,695;61,459;69,083;60,986;71,404;69,419;71,500;71,029;73,038;70,910;70,103;69,162
Seattle Seahawks;1,101,649;551,927;549,722;68,710;65,063;69,005;60,500;68,988;67,431;69,012;71,483;68,948;71,404;Bye;69,796;69,080;71,501;72,544;69,022;69,162
Tampa Bay Buccaneers;949,068;415,189;533,879;55,976;71,101;55,070;68,117;73,029;60,087;Bye;62,073;68,948;40,038;54,333;71,463;62,633;50,232;56,515;49,036;50,417
Tennessee Titans;1,047,496;516,074;531,422;67,431;62,849;58,613;72,108;66,910;75,815;62,431;62,073;72,540;68,864;Bye;60,926;60,361;52,760;65,265;66,756;71,794
